fips,date,year,month,emp_leisure,emp_retail,unemp_rate,state,treated,min_wage_post,min_wage_pre,wage_change,post,treated_post,wage_change_post,time_index,event_time
01,2024-01-01,2024,1,200.4,237.6,3.2,AL,0,7.25,7.25,0,0,0,0,0,-24
01,2024-02-01,2024,2,204.1,237.1,3.2,AL,0,7.25,7.25,0,0,0,0,1,-23
01,2024-03-01,2024,3,206.7,237.6,2.8,AL,0,7.25,7.25,0,0,0,0,2,-22
01,2024-04-01,2024,4,210.8,237.6,2.4,AL,0,7.25,7.25,0,0,0,0,3,-21
01,2024-05-01,2024,5,213,238.2,2.4,AL,0,7.25,7.25,0,0,0,0,4,-20
01,2024-06-01,2024,6,214.2,238.8,3.3,AL,0,7.25,7.25,0,0,0,0,5,-19
01,2024-07-01,2024,7,215.2,238.6,3.4,AL,0,7.25,7.25,0,0,0,0,6,-18
01,2024-08-01,2024,8,214.1,238.5,3.5,AL,0,7.25,7.25,0,0,0,0,7,-17
01,2024-09-01,2024,9,210.6,238.5,3.1,AL,0,7.25,7.25,0,0,0,0,8,-16
01,2024-10-01,2024,10,208.9,241.1,3.2,AL,0,7.25,7.25,0,0,0,0,9,-15
01,2024-11-01,2024,11,207.3,243.9,3.3,AL,0,7.25,7.25,0,0,0,0,10,-14
01,2024-12-01,2024,12,206.8,245.4,3.2,AL,0,7.25,7.25,0,0,0,0,11,-13
01,2025-01-01,2025,1,203.2,239.3,3.4,AL,0,7.25,7.25,0,0,0,0,12,-12
01,2025-02-01,2025,2,205.8,239.7,3.4,AL,0,7.25,7.25,0,0,0,0,13,-11
01,2025-03-01,2025,3,208.2,239.6,3.4,AL,0,7.25,7.25,0,0,0,0,14,-10
01,2025-04-01,2025,4,213.8,243.1,2.7,AL,0,7.25,7.25,0,0,0,0,15,-9
01,2025-05-01,2025,5,218.5,242.2,2.8,AL,0,7.25,7.25,0,0,0,0,16,-8
01,2025-06-01,2025,6,219.5,242.5,3,AL,0,7.25,7.25,0,0,0,0,17,-7
01,2025-07-01,2025,7,220.7,241.9,2.9,AL,0,7.25,7.25,0,0,0,0,18,-6
01,2025-08-01,2025,8,217.3,241.3,2.7,AL,0,7.25,7.25,0,0,0,0,19,-5
01,2025-09-01,2025,9,214.7,241.2,2.9,AL,0,7.25,7.25,0,0,0,0,20,-4
01,2025-10-01,2025,10,215,243,2.8,AL,0,7.25,7.25,0,0,0,0,21,-3
01,2025-11-01,2025,11,214.8,244.8,2.7,AL,0,7.25,7.25,0,0,0,0,22,-2
01,2025-12-01,2025,12,213.5,247.5,2.3,AL,0,7.25,7.25,0,0,0,0,23,-1
04,2024-01-01,2024,1,359.8,346.3,3.4,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,0,-24
04,2024-02-01,2024,2,367,344,3.3,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,1,-23
04,2024-03-01,2024,3,372.2,344.2,3,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,2,-22
04,2024-04-01,2024,4,373.1,343.5,2.9,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,3,-21
04,2024-05-01,2024,5,370.3,343,3.3,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,4,-20
04,2024-06-01,2024,6,361.5,341.4,4,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,5,-19
04,2024-07-01,2024,7,354.2,338.3,4.3,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,6,-18
04,2024-08-01,2024,8,355.9,337.8,4.2,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,7,-17
04,2024-09-01,2024,9,354.9,338.9,3.8,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,8,-16
04,2024-10-01,2024,10,363,341.9,3.8,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,9,-15
04,2024-11-01,2024,11,366.8,350.6,3.7,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,10,-14
04,2024-12-01,2024,12,366.1,353.2,3.5,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,11,-13
04,2025-01-01,2025,1,364.2,340.5,3.9,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,12,-12
04,2025-02-01,2025,2,367.7,339.9,3.9,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,13,-11
04,2025-03-01,2025,3,370.8,340.5,4,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,14,-10
04,2025-04-01,2025,4,372.2,342.3,3.5,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,15,-9
04,2025-05-01,2025,5,372.4,340.3,4.1,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,16,-8
04,2025-06-01,2025,6,364.7,340.2,4.5,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,17,-7
04,2025-07-01,2025,7,360.5,337.9,4.7,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,18,-6
04,2025-08-01,2025,8,361.2,339.1,4.8,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,19,-5
04,2025-09-01,2025,9,360.5,339.9,4.7,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,20,-4
04,2025-10-01,2025,10,367.2,343,4.5,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,21,-3
04,2025-11-01,2025,11,368.2,348.5,4.3,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,22,-2
04,2025-12-01,2025,12,370.8,352.5,4,AZ,1,14.7,14.35,0.34999999999999964,0,0,0,23,-1
06,2024-01-01,2024,1,1981.3,1600.2,5.4,CA,1,16.5,16,0.5,0,0,0,0,-24
06,2024-02-01,2024,2,1985.5,1577.4,5.4,CA,1,16.5,16,0.5,0,0,0,1,-23
06,2024-03-01,2024,3,1997.4,1571.4,5.2,CA,1,16.5,16,0.5,0,0,0,2,-22
06,2024-04-01,2024,4,2019.8,1571.2,4.8,CA,1,16.5,16,0.5,0,0,0,3,-21
06,2024-05-01,2024,5,2037.9,1568.2,4.7,CA,1,16.5,16,0.5,0,0,0,4,-20
06,2024-06-01,2024,6,2041.5,1566,5.4,CA,1,16.5,16,0.5,0,0,0,5,-19
06,2024-07-01,2024,7,2049.5,1574.5,5.9,CA,1,16.5,16,0.5,0,0,0,6,-18
06,2024-08-01,2024,8,2040.9,1578.4,5.9,CA,1,16.5,16,0.5,0,0,0,7,-17
06,2024-09-01,2024,9,2011.6,1570.6,5.2,CA,1,16.5,16,0.5,0,0,0,8,-16
06,2024-10-01,2024,10,2012.6,1592.1,5.3,CA,1,16.5,16,0.5,0,0,0,9,-15
06,2024-11-01,2024,11,2004.1,1629.2,5.4,CA,1,16.5,16,0.5,0,0,0,10,-14
06,2024-12-01,2024,12,2007.6,1647.6,5.2,CA,1,16.5,16,0.5,0,0,0,11,-13
06,2025-01-01,2025,1,1957.4,1591.1,5.5,CA,1,16.5,16,0.5,0,0,0,12,-12
06,2025-02-01,2025,2,1967.5,1575.9,5.5,CA,1,16.5,16,0.5,0,0,0,13,-11
06,2025-03-01,2025,3,1976.2,1570.7,5.3,CA,1,16.5,16,0.5,0,0,0,14,-10
06,2025-04-01,2025,4,1997,1568.4,5,CA,1,16.5,16,0.5,0,0,0,15,-9
06,2025-05-01,2025,5,2022.9,1571.1,5,CA,1,16.5,16,0.5,0,0,0,16,-8
06,2025-06-01,2025,6,2037.4,1571,5.8,CA,1,16.5,16,0.5,0,0,0,17,-7
06,2025-07-01,2025,7,2037.8,1573.1,6.1,CA,1,16.5,16,0.5,0,0,0,18,-6
06,2025-08-01,2025,8,2040,1569.9,5.8,CA,1,16.5,16,0.5,0,0,0,19,-5
06,2025-09-01,2025,9,2023.4,1567.5,5.6,CA,1,16.5,16,0.5,0,0,0,20,-4
06,2025-10-01,2025,10,2022.4,1586,5.5,CA,1,16.5,16,0.5,0,0,0,21,-3
06,2025-11-01,2025,11,2022.8,1621,5.4,CA,1,16.5,16,0.5,0,0,0,22,-2
06,2025-12-01,2025,12,2024.6,1633.6,5.1,CA,1,16.5,16,0.5,0,0,0,23,-1
08,2024-01-01,2024,1,346.9,273.6,4.1,CO,1,14.81,14.42,0.39000000000000057,0,0,0,0,-24
08,2024-02-01,2024,2,345,271.3,4.2,CO,1,14.81,14.42,0.39000000000000057,0,0,0,1,-23
08,2024-03-01,2024,3,349.1,271.3,3.8,CO,1,14.81,14.42,0.39000000000000057,0,0,0,2,-22
08,2024-04-01,2024,4,346.8,272.7,3.7,CO,1,14.81,14.42,0.39000000000000057,0,0,0,3,-21
08,2024-05-01,2024,5,345.5,272.7,3.9,CO,1,14.81,14.42,0.39000000000000057,0,0,0,4,-20
08,2024-06-01,2024,6,363.9,275.8,4.4,CO,1,14.81,14.42,0.39000000000000057,0,0,0,5,-19
08,2024-07-01,2024,7,370.2,276.1,4.6,CO,1,14.81,14.42,0.39000000000000057,0,0,0,6,-18
08,2024-08-01,2024,8,366.7,275,4.6,CO,1,14.81,14.42,0.39000000000000057,0,0,0,7,-17
08,2024-09-01,2024,9,353.1,272.6,4.3,CO,1,14.81,14.42,0.39000000000000057,0,0,0,8,-16
08,2024-10-01,2024,10,350.8,273.8,4.4,CO,1,14.81,14.42,0.39000000000000057,0,0,0,9,-15
08,2024-11-01,2024,11,346.2,277.2,4.7,CO,1,14.81,14.42,0.39000000000000057,0,0,0,10,-14
08,2024-12-01,2024,12,357.4,279.7,4.5,CO,1,14.81,14.42,0.39000000000000057,0,0,0,11,-13
08,2025-01-01,2025,1,351.9,272.6,5,CO,1,14.81,14.42,0.39000000000000057,0,0,0,12,-12
08,2025-02-01,2025,2,352.4,261.2,5.2,CO,1,14.81,14.42,0.39000000000000057,0,0,0,13,-11
08,2025-03-01,2025,3,349.4,271.1,4.6,CO,1,14.81,14.42,0.39000000000000057,0,0,0,14,-10
08,2025-04-01,2025,4,356.3,271.1,4.6,CO,1,14.81,14.42,0.39000000000000057,0,0,0,15,-9
08,2025-05-01,2025,5,355.5,270.4,4.5,CO,1,14.81,14.42,0.39000000000000057,0,0,0,16,-8
08,2025-06-01,2025,6,375.5,271.8,4.5,CO,1,14.81,14.42,0.39000000000000057,0,0,0,17,-7
08,2025-07-01,2025,7,380,272.8,3.9,CO,1,14.81,14.42,0.39000000000000057,0,0,0,18,-6
08,2025-08-01,2025,8,375.8,271.3,3.7,CO,1,14.81,14.42,0.39000000000000057,0,0,0,19,-5
08,2025-09-01,2025,9,361.9,270,3.9,CO,1,14.81,14.42,0.39000000000000057,0,0,0,20,-4
08,2025-10-01,2025,10,354.1,272.2,3.75,CO,1,14.81,14.42,0.39000000000000057,0,0,0,21,-3
08,2025-11-01,2025,11,352.4,275,3.6,CO,1,14.81,14.42,0.39000000000000057,0,0,0,22,-2
08,2025-12-01,2025,12,361.2,275.7,3.6,CO,1,14.81,14.42,0.39000000000000057,0,0,0,23,-1
09,2024-01-01,2024,1,144.1,166.6,3.7,CT,1,16.35,15.69,0.6600000000000019,0,0,0,0,-24
09,2024-02-01,2024,2,144,163.3,3.8,CT,1,16.35,15.69,0.6600000000000019,0,0,0,1,-23
09,2024-03-01,2024,3,146.3,164,3.3,CT,1,16.35,15.69,0.6600000000000019,0,0,0,2,-22
09,2024-04-01,2024,4,150.8,163.3,2.7,CT,1,16.35,15.69,0.6600000000000019,0,0,0,3,-21
09,2024-05-01,2024,5,159.6,165.1,3.1,CT,1,16.35,15.69,0.6600000000000019,0,0,0,4,-20
09,2024-06-01,2024,6,167.6,166.5,3,CT,1,16.35,15.69,0.6600000000000019,0,0,0,5,-19
09,2024-07-01,2024,7,166,165.5,3.6,CT,1,16.35,15.69,0.6600000000000019,0,0,0,6,-18
09,2024-08-01,2024,8,162.8,165.5,3.4,CT,1,16.35,15.69,0.6600000000000019,0,0,0,7,-17
09,2024-09-01,2024,9,156.3,163.4,2.8,CT,1,16.35,15.69,0.6600000000000019,0,0,0,8,-16
09,2024-10-01,2024,10,154.4,165.2,2.9,CT,1,16.35,15.69,0.6600000000000019,0,0,0,9,-15
09,2024-11-01,2024,11,150.4,168.1,2.9,CT,1,16.35,15.69,0.6600000000000019,0,0,0,10,-14
09,2024-12-01,2024,12,151.6,171.4,2.7,CT,1,16.35,15.69,0.6600000000000019,0,0,0,11,-13
09,2025-01-01,2025,1,145,164.5,4,CT,1,16.35,15.69,0.6600000000000019,0,0,0,12,-12
09,2025-02-01,2025,2,143.8,162,4.5,CT,1,16.35,15.69,0.6600000000000019,0,0,0,13,-11
09,2025-03-01,2025,3,146.9,162.8,4.1,CT,1,16.35,15.69,0.6600000000000019,0,0,0,14,-10
09,2025-04-01,2025,4,149.9,164.2,3.4,CT,1,16.35,15.69,0.6600000000000019,0,0,0,15,-9
09,2025-05-01,2025,5,160.2,163.6,3.9,CT,1,16.35,15.69,0.6600000000000019,0,0,0,16,-8
09,2025-06-01,2025,6,170,163.7,3.4,CT,1,16.35,15.69,0.6600000000000019,0,0,0,17,-7
09,2025-07-01,2025,7,170,163.8,4.2,CT,1,16.35,15.69,0.6600000000000019,0,0,0,18,-6
09,2025-08-01,2025,8,167.3,162.8,3.8,CT,1,16.35,15.69,0.6600000000000019,0,0,0,19,-5
09,2025-09-01,2025,9,157.3,160.8,3.8,CT,1,16.35,15.69,0.6600000000000019,0,0,0,20,-4
09,2025-10-01,2025,10,155.7,162,4,CT,1,16.35,15.69,0.6600000000000019,0,0,0,21,-3
09,2025-11-01,2025,11,152.1,164.8,4.2,CT,1,16.35,15.69,0.6600000000000019,0,0,0,22,-2
09,2025-12-01,2025,12,149.9,166.1,4.1,CT,1,16.35,15.69,0.6600000000000019,0,0,0,23,-1
13,2024-01-01,2024,1,497,514.5,3.4,GA,0,7.25,7.25,0,0,0,0,0,-24
13,2024-02-01,2024,2,499.3,512.1,3.4,GA,0,7.25,7.25,0,0,0,0,1,-23
13,2024-03-01,2024,3,510.4,513.6,3.4,GA,0,7.25,7.25,0,0,0,0,2,-22
13,2024-04-01,2024,4,525,512,3,GA,0,7.25,7.25,0,0,0,0,3,-21
13,2024-05-01,2024,5,528.4,514.6,3.5,GA,0,7.25,7.25,0,0,0,0,4,-20
13,2024-06-01,2024,6,533.1,514.1,3.9,GA,0,7.25,7.25,0,0,0,0,5,-19
13,2024-07-01,2024,7,526,511.2,3.9,GA,0,7.25,7.25,0,0,0,0,6,-18
13,2024-08-01,2024,8,519,508.7,4.1,GA,0,7.25,7.25,0,0,0,0,7,-17
13,2024-09-01,2024,9,512,507.9,3.4,GA,0,7.25,7.25,0,0,0,0,8,-16
13,2024-10-01,2024,10,516.2,511,3.6,GA,0,7.25,7.25,0,0,0,0,9,-15
13,2024-11-01,2024,11,514.4,518,3.5,GA,0,7.25,7.25,0,0,0,0,10,-14
13,2024-12-01,2024,12,516.7,525.6,3.4,GA,0,7.25,7.25,0,0,0,0,11,-13
13,2025-01-01,2025,1,503,507.8,3.5,GA,0,7.25,7.25,0,0,0,0,12,-12
13,2025-02-01,2025,2,505,507.6,3.7,GA,0,7.25,7.25,0,0,0,0,13,-11
13,2025-03-01,2025,3,509,509.6,3.6,GA,0,7.25,7.25,0,0,0,0,14,-10
13,2025-04-01,2025,4,523.1,509.5,3.1,GA,0,7.25,7.25,0,0,0,0,15,-9
13,2025-05-01,2025,5,523.9,511.8,3.3,GA,0,7.25,7.25,0,0,0,0,16,-8
13,2025-06-01,2025,6,532.8,513.2,3.7,GA,0,7.25,7.25,0,0,0,0,17,-7
13,2025-07-01,2025,7,530.6,509.6,3.6,GA,0,7.25,7.25,0,0,0,0,18,-6
13,2025-08-01,2025,8,523.3,508.8,3.5,GA,0,7.25,7.25,0,0,0,0,19,-5
13,2025-09-01,2025,9,519.4,507.6,3.4,GA,0,7.25,7.25,0,0,0,0,20,-4
13,2025-10-01,2025,10,520.5,510.4,3.7,GA,0,7.25,7.25,0,0,0,0,21,-3
13,2025-11-01,2025,11,523.3,515.5,4,GA,0,7.25,7.25,0,0,0,0,22,-2
13,2025-12-01,2025,12,515.9,519.9,3.3,GA,0,7.25,7.25,0,0,0,0,23,-1
15,2024-01-01,2024,1,118.3,64.7,2.9,HI,1,14,14,0,0,0,0,0,-24
15,2024-02-01,2024,2,118.7,64.2,2.8,HI,1,14,14,0,0,0,0,1,-23
15,2024-03-01,2024,3,119.2,64.2,2.7,HI,1,14,14,0,0,0,0,2,-22
